Company,Location,TexEmployeesEstimate,isCorpHQ,isFort500,Fort500Rank,isGlobal500,Glob500Rank,isRelocate,RelocateYear,RelocateFrom,Website,TwitterHandle,Source
Plains GP Holdings,Houston,,Y,Y,127,,,,,,https://www.plainsallamerican.com/contact-us,,https://www.concordia.edu/blog/top-25-fortune-500-companies-headquartered-in-texas.html
Oracle,Austin,4500,Y,Y,80,Y,304,Y,2020,Redwood City,https://www.oracle.com/corporate/citizenship/,Oracle,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Energy Transfer,Dallas,,Y,Y,81,Y,305,,,,https://www.energytransfer.com/investor-relations/,EnergyTransfer,https://www.concordia.edu/blog/top-25-fortune-500-companies-headquartered-in-texas.html
Enterprise Products Partners,Baytown,5000,Y,Y,105,Y,448,,,,http://www.enterpriseproducts.com/careers,EProd_Careers,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=36
CBRE Group,Dallas,3000,Y,Y,122,,,Y,2020,Los Angeles,https://www.cbre.com/about/corporate-responsibility,CBRE,https://www.bizjournals.com/dallas/news/2021/02/19/cbre-dallas-layoffs.html
DR Horton,Arlington,500,Y,Y,148,,,,,,https://www.drhorton.com/contact-us-page,DRHorton,https://www.star-telegram.com/news/local/arlington/article29596810.html
ConocoPhillips,Houston,2000,Y,Y,156,,,,,,https://www.conocophillips.com/contact-us/,conocophillips,https://www.houstonchronicle.com/business/energy/article/ConocoPhillips-plans-to-lay-off-500-Houston-15767220.php
Kimberly-Clark,Irving,,Y,Y,158,,,,,,https://www.kimberly-clark.com/en-us/contact-us,KCCorp,
Tenet Healthcare,Dallas,,Y,Y,167,,,,,,https://www.tenethealth.com/contact,tenethealth,https://www.concordia.edu/blog/top-25-fortune-500-companies-headquartered-in-texas.html
American Airlines,Fort Worth,33000,Y,Y,174,,,,,,https://www.aa.com/i18n/customer-service/about-us/about-us.jsp,AmericanAir,https://www.bizjournals.com/dallas/news/2021/02/12/american-airlines-dfw-furloughs.html
Oxcidental Petroleum,Houston,,Y,Y,183,,,,,,https://www.oxy.com/Information/Pages/Contact-Us.aspx,WeAreOxy,https://www.concordia.edu/blog/top-25-fortune-500-companies-headquartered-in-texas.html
Fluor,Irving,,Y,Y,196,,,,2006,,https://www.fluor.com/contact-us,FluorCorp,https://www.concordia.edu/blog/top-25-fortune-500-companies-headquartered-in-texas.html
Sysco,Houston,,Y,Y,60,Y,199,,,,https://www.sysco.com/Contact/Contact/Contact-Us.html,Sysco,https://www.concordia.edu/blog/top-25-fortune-500-companies-headquartered-in-texas.html
Waste Management,Houston,,Y,Y,202,,,,,,https://mediaroom.wm.com/contact/,WasteManagement,https://www.concordia.edu/blog/top-25-fortune-500-companies-headquartered-in-texas.html
Halliburton,Houston,5000,Y,Y,211,,,,,,https://www.halliburton.com/en/contact-us,,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=2
Texas Instruments,Dallas,11000,Y,Y,210,,,,,,https://www.ti.com/info/contact-us.html,TXInstruments,https://www.dallasnews.com/business/local-companies/2021/08/23/texas-instruments-will-require-all-us-employees-to-show-proof-of-vaccination-by-oct-29/
Charles Schwab,Westlake,3200,Y,Y,251,,,Y,2018,San Francisco,https://www.aboutschwab.com/,CharlesSchwab,https://www.statesman.com/story/business/2021/09/01/austin-jobs-charles-schwab/5669379001/
USAA,San Antonio,19000,Y,Y,87,Y,330,,,,https://www.usaa.com/inet/wc/about_usaa_corporate_governance_main,USAA,https://www.expressnews.com/business/article/Some-USAA-employees-will-return-to-the-office-16044820.php
Baker Hughes,Houston,4800,Y,Y,140,,,,,,https://www.bakerhughes.com/contact-us,bakerhughesco,https://www.concordia.edu/blog/top-25-fortune-500-companies-headquartered-in-texas.html
H-E-B,Various,90000,Y,,,,,,,,https://www.heb.com/static-page/contact-us,HEB,https://newsroom.heb.com/h%E2%80%91e%E2%80%91b-surpasses-100000-partner-milestone/
Kroger,Various,29000,,,,,,,,,https://www.kroger.com/hc/help/contact-us,kroger,https://www.click2houston.com/news/local/2020/04/02/more-than-29000-kroger-employees-in-texas-to-receive-pay-raise-additional-benefits/
University of Texas At Austin,Austin,21000,,,,,,,,,https://www.utexas.edu/contact-us,utaustin,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=2
Houston Methodist,Houston,20000,,,,,,,,,https://www.houstonmethodist.org/contact-us/,HMethodistJobs,https://hcoed.harriscountytx.gov/docs/Largest_100_Employers.pdf
MD Anderson,Houston,20000,,,,,,,,,https://www.mdanderson.org/about-md-anderson/contact-us.html,mdandersonnews,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=3
Memorial Hermann,Houston,20000,,,,,,,,,https://www.memorialhermann.org/about-us/contact-us,memorialhermann,https://hcoed.harriscountytx.gov/docs/Largest_100_Employers.pdf
Texas A&M,College Station,26000,,,,,,,,,https://www.tamu.edu/contact-us/index.html,TAMU,https://www.tamus.edu/system/
University of Texas Medical Branch,Galveston,12000,,,,,,,,,https://www.utmb.edu/contact,utmbnews,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=9
Parkland Health and Hospital,Dallas,10000,,,,,,,,,https://www.parklandhospital.com/contact-us,Parkland,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=10
Chevron,Houston,10000,,,,,,,,,https://www.chevron.com/about/contact,Chevron,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=2
DXC Technology,Plano,10000,,,,,,,,,https://www.dxc.com/us/en/contact-us,DXCTechnology,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=2
Landry's,Houston,10000,,,,,,,,,https://www.landrysinc.com/contact-info,LandrysInc,https://hcoed.harriscountytx.gov/docs/Largest_100_Employers.pdf
Medical City Dallas Hospital,Dallas,10000,,,,,,,,,https://medicalcityhealthcare.com/locations/medical-city-dallas/about/contact-us.dot,MedCityHospital,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=13
Shell Oil,Houston,8000,,,,,,,,,https://www.shell.us/about-us/contact-shell.html,Shell,https://www.houstonchronicle.com/business/energy/article/Shell-to-Cut-Up-to-9-000-Jobs-as-Virus-Forces-15608330.php
University of Houston,Houston,10000,,,,,,,,,https://www.uh.edu/career-opportunities/,Uhouston,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=14
NASA Johnson Space Center,Houston,9000,,,,,,,,,https://spacecenter.org/visitor-information/,NASA_Johnson,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=15
Partsmaster,Irving,8000,Y,,,,,,,,https://www.partsmaster.com/contact-us/,partsmasterus,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=2
Dow Chemical,Freeport,7500,,,,,,,,,https://www.dow.com/en-us/contact-us.html,DowNewsroom,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=2
Grooming Butler,Houston,7500,,,,,,,,,,,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=19
Harris Health System,Houston,12000,,,,,,,,,https://www.harrishealth.org/Pages/Contact-Us.aspx,harrishealth,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=20
Toyota North America,Plano,7000,Y,,,Y,9,,,,https://www.toyota.com/support/contact-us/,Toyota,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=2
Frost Brokerage Services,San Antonio,7000,,,,,,,,,https://www.frostbank.com/support-contact,FrostBank,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=21
Quexco,Dallas,7000,,,,,,,,,,,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=22
University of Texas at San Antonio,San Antonio,6800,,,,,,,,,https://www.utsa.edu/about/,UTSA,https://www.utsa.edu/budget/budget-planning/fy2021-budget-reductions.html
University Health System,San Antonio,6200,,,,,,,,,https://www.universityhealthsystem.com/contact-us,univhealthsa,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=25
Baylor St. Lukes Medical Center,Houston,6000,,,,,,,,,https://www.stlukeshealth.org/locations/baylor-st-lukes-medical-center/research/contact-us,StLukesHealthTX,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=26
Stephen F Austin State University,Nacogdoches,6000,,,,,,,,,https://www.sfasu.edu/contact-us,SFASU,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=28
Childrens Health,Dallas,5800,,,,,,,,,https://www.childrens.com/footer/contact,childrens,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=29
Methodist Hospital,San Antonio,5700,,,,,,,,,https://sahealth.com/locations/methodist-hospital/,SAHealth,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=30
BP America,Houston,5000,Y,,,Y,18,,,,https://www.bp.com/en_us/united-states/home/who-we-are/contact-us.html,bp_America,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=2
Capital One,Dallas,5000,,,,,,,,,https://www.capitalone.com/about/corporate-information/,CapitalOne,https://www.dallasnews.com/business/local-companies/2021/08/23/texas-instruments-will-require-all-us-employees-to-show-proof-of-vaccination-by-oct-29/
Centerpoint Energy,Houston,5000,Y,Y,342,,,,,,https://www.centerpointenergy.com/en-us/corporate/contact-us,centerpoint,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=35
CHRISTUS Santa Rosa Health,San Antonio,5000,,,,,,,,,https://www.christushealth.org/santa-rosa/about/contact-us,csrhs,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=34
Harland Clarke Holdings,San Antonio,5000,,,,,,,,,https://www.harlandclarke.com/main/contact,harlandclarke,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=38
Stevens Transport,Dallas,5000,,,,,,,,,https://www.stevenstransport.com/about/contact/,Drive4Stevens,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=41
Tesla,Austin,5000,,,,,,Y,2021,Palo Alto,https://www.tesla.com/contact,https://twitter.com/Tesla,https://www.builtinaustin.com/2021/03/30/tesla-hiring-austin-gigafactory
University of Texas Rio Grande,Edinburg,5000,,,,,,,,,https://www.utrgv.edu/en-us/about-utrgv/contact/index.htm,utrgv,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=42
Van Oord Offshore USA,Houston,5000,,,,,,,,,https://www.vanoord.com/en/contact/,,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=43
BNSF Railway,Fort Worth,4900,,,,,,,,,https://www.bnsf.com/about-bnsf/contact-us/,BNSFRailway,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=44
KBR,Houston,4500,Y,Y,470,,,,,,https://www.kbr.com/en/contact-us,KBRincorporated,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=2
Clinical Pathology Labs,Austin,4500,,,,,,,,,https://www.cpllabs.com/contact/,CPL_SW,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=48
Cook Childrens Health Care,Fort Worth,4500,,,,,,,,,https://cookchildrens.org/about/Pages/Contact-Us.aspx,CookChildrens,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=49
Guckenheimer Enterprises,San Antonio,4500,,,,,,,,,https://www.guckenheimer.com/en-us/contact/contact/contact,guckenheimerUSA,https://www.careerinfonet.org/oview6.asp?printer=&next=oview6&id=&nodeid=&stfips=48&group=50
Rackspace,San Antonio,4000,Y,,799,,,,,,https://www.rackspace.com/contact,Rackspace,https://www.tpr.org/business/2021-07-22/rackspace-cuts-10-of-workforce-in-one-of-largest-employee-shake-ups
AECOM,Dallas,1200,Y,,,,,Y,2021,Los Angeles,https://aecom.com/contact-us/,AECOM,https://www.latimes.com/business/story/2021-08-19/aecom-to-move-los-angeles-headquarters-to-dallas
Zoho,Austin,500,Y,,,,,Y,2019,Pleasanton,https://www.zoho.com/contactus.html,zoho,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Incora,Fort Worth,239,Y,,,,,Y,2020,Valencia,https://www.incora.com/contact-us/contact-form,incoraglobal,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Opicity,Austin,208,Y,,,,,Y,2019,Santa Clara,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Green Dot,Austin,200,Y,,,,,Y,2021,Pasadena,https://www.greendot.com/about-us,GreenDotBank,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Honor Home Care,Austin,200,,,,,,Y,2018,Concord,https://www.joinhonor.com/contact,HonorHomeCare,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Wedgewood Inc.,Farmers Branch,200,Y,,,,,Y,2021,Redondo Beach,https://www.wedgewood-inc.com/,JobsatWedgewood,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
WP Engine,Austin,180,Y,,,,,Y,2019,Menlo Park,https://wpengine.com/contact/,wpengine,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Waterlogic USA Inc.,Grapevine,164,Y,,,,,Y,2019,Concord,https://www.waterlogic.com/en-us/,waterlogic_USA,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Markaaz Inc.,Austin,150,Y,,,,,Y,2021,Los Angeles,https://markaaz.com/about-us/,markaazglobal,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
REX,Austin,150,Y,,,,,Y,2019,Los Angeles,https://www.rexhomes.com/about,rex_change,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Saleen Performance Parts,Round Rock,150,Y,,,,,Y,2020,Corona,https://www.saleenperformance.com/,Saleen,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Core-Mark Holding,Westlake,100,Y,Y,224,,,Y,2018,San Francisco,https://www.core-mark.com/about/,CoreMarkCareers,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
DealerSocket,Irving,100,Y,,,,,Y,2018,San Clemente,https://dealersocket.com/contact-us/,DealerSocket,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
DJO Global,Lewisville,100,Y,,,,,Y,2019,Carlsbad,https://www.djoglobal.com,djoglobal,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Lion Real Estate Group,Dallas,100,Y,,,,,Y,2021,Los Angeles,https://www.lionrealestate.com/,LionRealEstate,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Outdoorsy,Austin,100,Y,,,,,Y,2018,San Francisco,https://www.outdoorsy.com/about,Outdoorsy,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Pabst Brewing,San Antonio,100,Y,,,,,Y,2020,Los Angeles,https://pabstblueribbon.com/contact-us/,PabstBlueRibbon,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
QuestionPro,Austin,100,Y,,,,,Y,2020,San Francisco,https://www.questionpro.com/info/aboutUs.html,questionpro,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Slync.io,Dallas,100,Y,,,,,Y,2020,San Francisco,https://www.slync.io/company,Slyncio,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
KVP International,McKinney,90,Y,,,,,Y,2019,Chino,https://www.kvpvet.com/about,kvpvet,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Wiley X,Frisco,88,Y,,,,,Y,2021,Livermore,https://www.wileyx.com/contact,wileyx,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Dasan Zhone Solutions (DZS),Plano,80,Y,,,,,Y,2020,Oakland,https://dzsi.com/,DZS_Innovation,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Rooster Teeth,Austin,80,Y,,,,,Y,2018,Los Angeles,https://roosterteeth.com/about,RoosterTeeth,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
SmartAction,Fort Worth,80,Y,,,,,Y,2021,Los Angeles,https://www.smartaction.ai/contact-us/,SmartAction,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Chubbies Shorts Co.,Austin,65,Y,,,,,Y,2019,San Francisco,https://www.chubbiesshorts.com/,Chubbies,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
JRS Company,Hutto,65,Y,,,,,Y,2018,Covina,http://www.jrscoinc.com/#contact,jrs_company,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Panoramic Doors,Fort Worth,60,Y,,,,,Y,2019,Oceanside,https://www.panoramicdoors.com/contact-us/,PanoramicDoors,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Aatonomy,Houston,50,Y,,,,,Y,2018,San Francisco,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
All Web Leads,Austin,50,Y,,,,,Y,2018,San Francisco,http://www.allwebleads.com/contact,AllWebLeads,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Digital Pharmacist,Austin,50,Y,,,,,Y,2019,Los Angeles,https://www.digitalpharmacist.com/contact/,Digital_Pharm,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Energy Service Experts,Houston,50,Y,,,,,Y,2018,San Francisco,https://energyserviceexperts.com/contact/,SprucePower,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Kettle and Fire Bone Broth,Austin,50,Y,,,,,Y,2018,San Francisco,https://www.kettleandfire.com/pages/about-us,kettleandfire,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Optimal Elite Management,Grand Praire,50,Y,,,,,Y,2020,Oxnard,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Quality Custom Distribution,Frisco,50,Y,,,,,Y,2019,Irvine,https://www.qualitycustomdistribution.com/,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Therabody,Dallas,50,Y,,,,,Y,2021,Los Angeles,https://www.therabody.com/us/en-us/support/support.html,therabody,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
GetSales,Austin,45,Y,,,,,Y,2019,San Francisco,https://www.getsales.team/contact,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
240 Tech LLC (HQ2),Cedar Park,35,Y,,,,,Y,2021,Santa Ana,https://ovaljet.com/,ovaljetofficial,https://www.cedarparktexas.gov/Home/Components/News/News/1564/32
CORE Group,Austin,35,Y,,,,,Y,2019,San Francisco,https://gowithcore.com/contact-us/,,https://gowithcore.com/latest-news/core-to-relocate-headquarters-to-austin-texas/
Smartrise Engineering,Irving,31,Y,,,,,Y,2019,Sacramento,https://www.smartrise.us/contact-us/,SmartriseUSA,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Springbox,Austin,30,Y,,,,,Y,2018,San Francisco,https://www.springbox.com/contact-us/,springbox,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Adlucent,Austin,25,Y,,,,,Y,2019,Irvine,https://www.adlucent.com/company/lets-talk/,Adlucent,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Aeromax Industries Inc.,Fort Worth,25,Y,,,,,Y,2019,Los Angeles,https://aeromax.com/contact-us/,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
FileTrail,Austin,25,Y,,,,,Y,2020,San Jose,https://filetrail.com/contact/,FileTrail,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Firefly Aerospace,Cedar Park,25,Y,,,,,Y,2018,Menlo Park,https://firefly.com/contact/,Firefly_Space,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
NinjaRMM LLV,Austin,24,Y,,,,,Y,2021,San Francisco,https://www.ninjarmm.com/about-us/,NinjaRMM,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Mithril Capital Management,Austin,22,Y,,,,,Y,2019,San Francisco,https://www.mithril.com/,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Chip 1 Exchange,Fort Worth,20,Y,,,,,Y,2019,Lake Forest,https://www.chip1.com/contact-us,chip1exchange,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Merrick Engineering Inc.,Waco,20,Y,,,,,Y,2019,Corona,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Michael Angelo's Gourmet Foods,Round Rock,18,Y,,,,,Y,2019,Berkeley,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Astura Medical,Irving,16,Y,,,,,Y,2019,Carlsbad,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
8VC,Austin,15,Y,,,,,Y,2020,San Francisco,https://8vc.com/about/,eightVC,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Win-Win,Houston,15,Y,,,,,Y,2019,Oakland,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
AgencyKPI Inc.,Austin,13,Y,,,,,Y,2020,Los Angeles,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Krave Jerky,Austin,12,Y,,,,,Y,2018,Sonoma,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Lottery.com,Bee Cave,12,Y,,,,,Y,2018,San Francisco,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Flannery Trim,Fort Worth,10,Y,,,,,Y,2021,San Fernando,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Hangar Technology,Austin,10,Y,,,,,Y,2019,Santa Monica,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Pinpoin,Austin,10,Y,,,,,Y,2018,Mountain View,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
SignEasy,Dallas,10,Y,,,,,Y,2019,San Francisco,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
